"Admin_District";"GDP_2014"
"Wilhelmshaven, Stadt";40000
"Herne, Stadt";22500
"Schweinfurt";93900
"Kaufbeuren";32300
"Peine";20700
"Kempten (Allgäu)";54500
"Ammerland";25000
"Kiel";44100
"Flensburg, Stadt";38900
"Lübeck";37400
"Neumünster, Stadt";36900
"Dithmarschen";26500
"Hameln-Pyrmont";31600
"Herzogtum Lauenburg";20400
"Pinneberg";26200
"Plön";19000
"Nordfriesland";31600
"Ostholstein";22600
"Rendsburg-Eckernförde";26600
"Schleswig-Flensburg";23600
"Segeberg";28600
"Steinburg";30800
"Wolfsburg, Stadt";136200
"Stormarn";30300
"Hamburg";59700
"Braunschweig, Stadt";43200
"Salzgitter, Stadt";48700
"Gifhorn";17900
"Göttingen";32800
"Goslar";25300
"Helmstedt";19700
"Northeim";25600
"Osterode am Harz";28000
"Emden, Stadt";57300
"Wolfenbüttel";18500
"Region Hannover";40400
"Diepholz";26600
"Hildesheim";25100
"Holzminden";26700
"Nienburg (Weser)";27800
"Oldenburg (Kreisfreie Stadt)";41000
"Schaumburg";22400
"Celle";26800
"Cuxhaven";20400
"Osnabrück (Kreisfreie Stadt)";45700
"Harburg";21100
"Lüchow-Dannenberg";22100
"Lüneburg";23900
"Osterholz";17800
"Rotenburg (Wümme)";28200
"Heidekreis";29000
"Stade";27400
"Uelzen";24500
"Verden";28200
"Delmenhorst, Stadt";20900
"Aurich";22300
"Cloppenburg";33800
"Emsland";35500
"Essen, Stadt";44400
"Friesland";22800
"Grafschaft Bentheim";28400
"Leer";27100
"Oldenburg";20500
"Osnabrück";26400
"Vechta";38900
"Wesermarsch";29000
"Krefeld, Stadt";37000
"Wittmund";21700
"Bremen, Stadt";47300
"Bremerhaven, Stadt";36500
"Düsseldorf, Stadt";77200
"Duisburg, Stadt";34400
"Mönchengladbach, Stadt";30600
"Mülheim an der Ruhr, Stadt";34500
"Oberhausen, Stadt";27700
"Remscheid, Stadt";34500
"Solingen";29100
"Wuppertal, Stadt";34600
"Kleve";26700
"Mettmann";36900
"Rhein-Kreis Neuss";38800
"Viersen";26400
"Wesel";26900
"Bonn, Stadt";74000
"Köln, Stadt";54400
"Leverkusen, Stadt";44700
"Borken";32300
"Städteregion Aachen";33300
"Düren";26500
"Rhein-Erft-Kreis";30400
"Coesfeld";25200
"Euskirchen";24800
"Heinsberg";23100
"Oberbergischer Kreis";32500
"Rheinisch-Bergischer Kreis";24100
"Rhein-Sieg-Kreis";28100
"Bottrop, Stadt";20000
"Gelsenkirchen, Stadt";29700
"Münster, Stadt";54800
"Hamm, Stadt";27800
"Recklinghausen";24800
"Steinfurt";28600
"Warendorf";28900
"Bielefeld, Stadt";37000
"Gütersloh";44300
"Herford";31500
"Höxter";25000
"Lippe";28200
"Minden-Lübbecke";37400
"Paderborn";33200
"Bochum, Stadt";32300
"Dortmund, Stadt";35000
"Hagen";32800
"Ennepe-Ruhr-Kreis";29200
"Hochsauerlandkreis";32500
"Märkischer Kreis";34300
"Olpe";36600
"Siegen-Wittgenstein";36900
"Soest";31800
"Unna";28400
"Darmstadt";67100
"Erlangen";83800
"Frankfurt am Main, Stadt";91300
"Offenbach am Main, Stadt";37100
"Wiesbaden";58600
"Bergstraße";28900
"Offenbach";37000
"Darmstadt-Dieburg";25200
"Groß-Gerau";41000
"Hochtaunuskreis";43000
"Lahn-Dill-Kreis";31000
"Main-Kinzig-Kreis";30800
"Main-Taunus-Kreis";48100
"Odenwaldkreis";25000
"Koblenz";66300
"Rheingau-Taunus-Kreis";23400
"Wetteraukreis";27000
"Gießen";31600
"Fürth";31500
"Limburg-Weilburg";26600
"Marburg-Biedenkopf";33700
"Vogelsbergkreis";24000
"Kassel (Kreisfreie Stadt)";48200
"Fulda";34400
"Hersfeld-Rotenburg";34600
"Kassel";27200
"Schwalm-Eder-Kreis";28300
"Waldeck-Frankenberg";32200
"Werra-Meißner-Kreis";23700
"Ahrweiler";23200
"Altenkirchen (Westerwald)";24500
"Trier";41100
"Bad Kreuznach";28100
"Birkenfeld";26900
"Kaiserslautern";44500
"Cochem-Zell";26900
"Mayen-Koblenz";28700
"Landau in der Pfalz";38900
"Neuwied";28500
"Rhein-Hunsrück-Kreis";30200
"Ludwigshafen am Rhein";74300
"Rhein-Lahn-Kreis";24000
"Westerwaldkreis";30900
"Bernkastel-Wittlich";29000
"Eifelkreis Bitburg-Prüm";25200
"Mainz";54600
"Vulkaneifel";28300
"Trier-Saarburg";18500
"Frankenthal (Pfalz)";32700
"Neustadt an der Weinstraße";28700
"Pirmasens";35300
"Speyer";48800
"Worms";34800
"Zweibrücken";39800
"Freiburg im Breisgau";46600
"Alzey-Worms";23700
"Bad Dürkheim";20200
"Kusel";15400
"Donnersbergkreis";25000
"Germersheim";33700
"Kaiserslautern (Kreisfreie Stadt)";19800
"Südliche Weinstraße";22900
"Rhein-Pfalz-Kreis";16200
"Böblingen";57800
"Mainz-Bingen";30600
"Südwestpfalz";15000
"Stuttgart";78800
"Esslingen";37400
"Göppingen";30800
"Ludwigsburg";40700
"Rosenheim (Kreisfreie Stadt)";46000
"Rems-Murr-Kreis";31500
"Heilbronn (Stadtkreis)";49500
"Heilbronn";46700
"Straubing";47300
"Hohenlohekreis";43800
"Schwäbisch Hall";37400
"Main-Tauber-Kreis";33900
"Heidenheim";30800
"Ostalbkreis";38900
"Baden-Baden";50400
"Karlsruhe (Stadtkreis)";59700
"Karlsruhe";33300
"Rastatt";38300
"Heidelberg";52100
"Mannheim";59900
"Neckar-Odenwald-Kreis";28900
"Rhein-Neckar-Kreis";30300
"Pforzheim";42700
"Calw";26200
"Enzkreis";26700
"Freudenstadt";34800
"Amberg";50000
"Breisgau-Hochschwarzwald";27100
"Emmendingen";27500
"Ortenaukreis";36300
"Rottweil";39000
"Schwarzwald-Baar-Kreis";34800
"Tuttlingen";42100
"Regensburg";82400
"Konstanz";31600
"Lörrach";32000
"Waldshut";28500
"Reutlingen";37000
"Tübingen";30100
"Zollernalbkreis";31900
"Ulm";68800
"Alb-Donau-Kreis";27500
"Biberach";45500
"Bodensee";44300
"Ravensburg";37300
"Sigmaringen";33500
"Ingolstadt";122100
"München (Kreisfreie Stadt)";69800
"Altötting";45200
"Berchtesgadener Land";28300
"Bad Tölz-Wolfratshausen";27000
"Dachau";25500
"Ebersberg";28900
"Eichstätt";28000
"Erding";27600
"Freising";43600
"Fürstenfeldbruck";23200
"Garmisch-Partenkirchen";26100
"Landsberg am Lech";28600
"Miesbach";30500
"Mühldorf am Inn";30200
